book,chapter,verse,chokri,english,source
MAT,1,1,"Abraham nu David, David nuo Jisu Khrista shühye lüsida;","The book of the generation of Jesus Christ, the son of David, the son of Abraham.",Bible_NAG5BSI_WEB
MAT,1,2,"Abraham yo Isaac pari, Isaac yo James pari; James yo Judas mo pü sazühzürako pariyi.",Abraham became the father of Isaac. Isaac became the father of Jacob. Jacob became the father of Judah and his brothers.,Bible_NAG5BSI_WEB
MAT,1,3,Süze Juda-e Tamarpü yono Perez mo Zora unyi münuyi; Perez yo Hezron pari mo Hezron yo Aram pariyi;,Judah became the father of Perez and Zerah by Tamar. Perez became the father of Hezron. Hezron became the father of Ram.,Bible_NAG5BSI_WEB
MAT,1,4,Aram yo Aminadab mo Aminadab yo Nasahon mo Nashon yo Salmon pariyi;,Ram became the father of Amminadab. Amminadab became the father of Nahshon. Nahshon became the father of Salmon.,Bible_NAG5BSI_WEB
MAT,1,5,"Salmon-e Rakhab pü yono Boaz ngoyi, mo Boaz-e Ruth yono Obed münuyi, mo Obed yo Jese pariyi;",Salmon became the father of Boaz by Rahab. Boaz became the father of Obed by Ruth. Obed became the father of Jesse.,Bible_NAG5BSI_WEB
MAT,1,6,"Mo Jesse yo David Küdeo pariyi, David-e thazü Uria cemipü yono Solomon münuyi.",Jesse became the father of David the king. David became the father of Solomon by her who had been the wife of Uriah.,Bible_NAG5BSI_WEB
MAT,1,7,Mo Solomon yo Rehoboam pari; Rehoboam yo Abijah mo Abijah yo Asa;,Solomon became the father of Rehoboam. Rehoboam became the father of Abijah. Abijah became the father of Asa.,Bible_NAG5BSI_WEB
MAT,1,8,"Mo Asa yo Jehosafat; mo Jehosafat nu Joram, mo Joram, mo Joram nu Uzia.",Asa became the father of Jehoshaphat. Jehoshaphat became the father of Joram. Joram became the father of Uzziah.,Bible_NAG5BSI_WEB
MAT,1,9,"Süsari Uzia yo Jothan pari, Jothan yo Ahaz, mo Ahaz yo Hezekia;",Uzziah became the father of Jotham. Jotham became the father of Ahaz. Ahaz became the father of Hezekiah.,Bible_NAG5BSI_WEB
MAT,1,10,"Mo Hezekia yo Manasseh mo Manesseh nu Amon, süsa Amon nu Josia.",Hezekiah became the father of Manasseh. Manasseh became the father of Amon. Amon became the father of Josiah.,Bible_NAG5BSI_WEB
