book,chapter,verse,chokri,english,source
SUPP,0.0,0.0,thá dzɨ mɨ yẽ nū mɨ pù tī ʃī nê mû thə yô ū kō mɨ sɨ kə mə zá â nō hlɨ bâ jō ʃẽ,"It is said that a long time ago an orphan, a dog and a frog were living together.",Bielenberg_Nienu_2001
SUPP,0.0,0.0,kə mə zá vé rī bâ jō ʃẽ,"Very happily together, it is said.",Bielenberg_Nienu_2001
SUPP,0.0,0.0,ū kō vô thī zɨ phẽ lɨ bâ â nō kə rɨ thī î nō sɨ bâ jō,"Usually, before they would go to bed, they would sit at the foot of the bed in deep conversation.",Bielenberg_Nienu_2001
SUPP,0.0,0.0,pù zɨ̄ pù mə yẽ nū lī pū ʃî pū nî zɨ kə bâ tî tʃê thə yô o nō tâ tâ,"One night while the orphan and his dog were sleeping, the frog ran away.",Bielenberg_Nienu_2001
SUPP,0.0,0.0,kɨ sɨ yā nà mə yə nū lī tī ʃī nê pū nî tò sɨ pà ʃī zɨ̄ î nō mə yɨ nū nō vô thə yô rɨ thī,Usually early in the morning the orphan and his doggy would get up and go talk to the frog.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,sɨ sâ mə yə nū lī tī ʃī nê pū nî ɨ lɨ kə mə zê sɨ tâ,And then the orphan and his doggy suffered deeply.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,ʃī zɨ̄ n̥ tʃê mō tî kō lɨ thə yô phû mɨ dɨ tâ,They searched the whole house but the search for Frog found nothing.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,sɨ sâ mə rə nū vô khr kî khá khrī sɨ thə yô thə yô nō dɨ pù tʃê bâ lâ,Then the orphan went and opened the window and called Frog Frog where are you?,Bielenberg_Nienu_2001
SUPP,0.0,0.0,tī ʃī nê pū pɨ mə kà ɨ tâ,Doggy stuck his head inside the bottle that had been Frog's house.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,bò tō lō pū pɨ mə kà kə bâ tsɨ kə sɨ phá â vâ,He fell down and the bottle shattered.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,mə rə nū ō pū ʃī krɨ tsɨ kə tâ pū kî pū ʃī mɨ zà,The orphan saw his dog fall jumped from the window and grabbed his dog.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,kə tsá kə tsô vô ō nō thə yô tʃɨ thə yô nō dɨ pù tʃê bâ lâ,Next they went to the forest to ask and called Frog frog where are you?,Bielenberg_Nienu_2001
SUPP,0.0,0.0,ʃī zɨ̄ ɨ nō kə tsá mō tî kō lɨ tʃɨ vô,And they called like that throughout the whole forest.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,pū nî kə tsá lɨ lɨ kə zɨ tʃê mə khɨ qhô lɨ kə lê tʃê mó,Just as they entered the forest they saw a bee hive and a squirrel hole.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,mə rə nū nō tə ʃɨ tʃê pô sɨ nō phê mə khɨ kō tʃê ū kō thə yô mó mē mò sɨ kə tsò sɨ tē,The orphan said to the dog to approach the bees and ask them whether they have seen the frog.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,ɨ kā lê kə tsò kə bâ tʃê,While I ask the squirrel.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,mə rə nū nō kā lê tʃɨ kə sɨ tʃê kā lê pà mə rə nū kə tsò sɨ mə rē nō nō só pū phû bâ lâ,When the orphan called to the squirrel he emerged and asked Orphan for whom are you searching?,Bielenberg_Nienu_2001
SUPP,0.0,0.0,mə rə nū lī kā lê pū nî kə rɨ thī,The orphan and the squirrel conversed.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,mə khɨ kō tī ʃī nê khrk sé ɨ mò tâ,The bees were very many and that is why they could not hear the doggy's voice.,Bielenberg_Nienu_2001
